"filename", "language", "CMakeCache", "C++", "JSON", "CMake", "comment", "blank", "total"
"/home/xiaojiang/DEV/SparkPlayer/build/SparkPlayer_autogen/moc_predefs.h", "C++", 0, 1, 0, 0, 0, 0, 1
"/home/xiaojiang/DEV/SparkPlayer/build/SparkPlayer_autogen/mocs_compilation.cpp", "C++", 0, 2, 0, 0, 0, 0, 2
"/home/xiaojiang/DEV/SparkPlayer/build/compile_commands.json", "JSON", 0, 0, 18, 0, 0, 0, 18
"/home/xiaojiang/DEV/SparkPlayer/include.h", "C++", 0, 1, 0, 0, 0, 0, 1
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.cpp", "C++", 0, 32, 0, 0, 13, 11, 56
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.h", "C++", 0, 3, 0, 0, 1, 0, 4
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.cpp", "C++", 0, 280, 0, 0, 22, 53, 355
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.h", "C++", 0, 80, 0, 0, 1, 19, 100
"/home/xiaojiang/DEV/SparkPlayer/utils/ImageTools.cpp", "C++", 0, 13, 0, 0, 0, 5, 18
"/home/xiaojiang/DEV/SparkPlayer/utils/ImageTools.h", "C++", 0, 1, 0, 0, 0, 0, 1
"/home/xiaojiang/DEV/SparkPlayer/widgets/MainPage.cpp", "C++", 0, 24, 0, 0, 0, 3, 27
"/home/xiaojiang/DEV/SparkPlayer/widgets/MainPage.h", "C++", 0, 6, 0, 0, 0, 4, 10
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.cpp", "C++", 0, 50, 0, 0, 1, 11, 62
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.h", "C++", 0, 27, 0, 0, 0, 13, 40
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaListButton.cpp", "C++", 0, 65, 0, 0, 1, 18, 84
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaListButton.h", "C++", 0, 26, 0, 0, 1, 10, 37
"/home/xiaojiang/DEV/SparkPlayer/widgets/TimeLine.cpp", "C++", 0, 17, 0, 0, 0, 2, 19
"/home/xiaojiang/DEV/SparkPlayer/widgets/TimeLine.h", "C++", 0, 3, 0, 0, 0, 0, 3
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.cpp", "C++", 0, 28, 0, 0, 0, 8, 36
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.h", "C++", 0, 32, 0, 0, 2, 13, 47
"Total", "-", 22, 750, 349, 21, 73, 187, 1402
