"filename", "language", "C++", "CMake", "CMakeCache", "JSON", "XML", "Log", "comment", "blank", "total"
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/target-SparkPlayer-Debug-2eca8a6e3080b9a0c932.json", "JSON", 0, 0, 0, -918, 0, 0, 0, -1, -919
"/home/xiaojiang/DEV/SparkPlayer/build/.cmake/api/v1/reply/target-SparkPlayer-Debug-c131fb3fbc87897522c7.json", "JSON", 0, 0, 0, 932, 0, 0, 0, 1, 933
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeCache.txt", "CMakeCache", 0, 0, -8, 0, 0, 0, 0, -2, -10
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/SparkPlayer.dir/DependInfo.cmake", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/SparkPlayer.dir/cmake_clean.cmake", "CMake", 0, 2, 0, 0, 0, 0, 0, 0, 2
"/home/xiaojiang/DEV/SparkPlayer/build/CMakeFiles/SparkPlayer_autogen.dir/AutogenInfo.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 7
"/home/xiaojiang/DEV/SparkPlayer/build/SparkPlayer_autogen/mocs_compilation.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/xiaojiang/DEV/SparkPlayer/build/Testing/20250114-1705/Test.xml", "XML", 0, 0, 0, 0, -34, 0, 0, -1, -35
"/home/xiaojiang/DEV/SparkPlayer/build/Testing/Temporary/LastTest_20250114-1705.log", "Log", 0, 0, 0, 0, 0, -3, 0, -1, -4
"/home/xiaojiang/DEV/SparkPlayer/build/compile_commands.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 6
"/home/xiaojiang/DEV/SparkPlayer/include.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 3
"/home/xiaojiang/DEV/SparkPlayer/sparkplayer.cpp", "C++", 2, 0, 0, 0, 0, 0, 0, -1, 1
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.cpp", "C++", 28, 0, 0, 0, 0, 0, 8, -4, 32
"/home/xiaojiang/DEV/SparkPlayer/utils/Codec.h", "C++", 3, 0, 0, 0, 0, 0, 1, -1, 3
"/home/xiaojiang/DEV/SparkPlayer/utils/ImageTools.cpp", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 3
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.cpp", "C++", 59, 0, 0, 0, 0, 0, 1, 8, 68
"/home/xiaojiang/DEV/SparkPlayer/widgets/MediaBox.h", "C++", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/home/xiaojiang/DEV/SparkPlayer/widgets/PlayListBox.cpp", "C++", 38, 0, 0, 0, 0, 0, 1, 9, 48
"/home/xiaojiang/DEV/SparkPlayer/widgets/PlayListBox.h", "C++", 19, 0, 0, 0, 0, 0, 0, 8, 27
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/xiaojiang/DEV/SparkPlayer/widgets/TitleBar.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/xiaojiang/DEV/SparkPlayer/widgets/VideoBox.cpp", "C++", 11, 0, 0, 0, 0, 0, 8, 2, 21
"/home/xiaojiang/DEV/SparkPlayer/widgets/VideoBox.h", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 2
"/home/xiaojiang/DEV/SparkPlayer/widgets/VolumeBox.cpp", "C++", 83, 0, 0, 0, 0, 0, 0, 10, 93
"/home/xiaojiang/DEV/SparkPlayer/widgets/VolumeBox.h", "C++", 16, 0, 0, 0, 0, 0, 1, 8, 25
"Total", "-", 288, 4, -8, -45, -34, -3, 27, 38, 267
